state,gop_win
AL-01,100.0
AL-02,99.8
AL-03,100.0
AL-04,100.0
AL-05,99.9
AL-06,100.0
AL-07,0.0
AK-AL,78.7
AZ-01,10.3
AZ-02,2.2
AZ-03,0.0
AZ-04,100.0
AZ-05,99.9
AZ-06,91.5
AZ-07,0.0
AZ-08,97.5
AZ-09,0.0
AR-01,100.0
AR-02,68.2
AR-03,100.0
AR-04,100.0
CA-01,94.0
CA-02,0.0
CA-03,0.1
CA-04,87.5
CA-05,0.0
CA-06,0.0
CA-07,2.0
CA-08,100.0
CA-09,0.5
CA-10,7.0
CA-11,0.0
CA-12,0.0
CA-13,0.0
CA-14,0.0
CA-15,0.0
CA-16,0.2
CA-17,0.0
CA-18,0.0
CA-19,0.0
CA-20,0.0
CA-21,30.8
CA-22,73.2
CA-23,100.0
CA-24,0.1
CA-25,31.0
CA-26,0.0
CA-27,0.0
CA-28,0.0
CA-29,0.0
CA-30,0.0
CA-31,0.0
CA-32,0.0
CA-33,0.0
CA-34,0.0
CA-35,0.0
CA-36,0.0
CA-37,0.0
CA-38,0.0
CA-39,12.0
CA-40,0.0
CA-41,0.0
CA-42,96.9
CA-43,0.0
CA-44,0.0
CA-45,7.8
CA-46,0.0
CA-47,0.0
CA-48,1.5
CA-49,0.6
CA-50,79.7
CA-51,0.0
CA-52,0.0
CA-53,0.0
CO-01,0.0
CO-02,0.0
CO-03,87.2
CO-04,100.0
CO-05,99.6
CO-06,0.1
CO-07,0.0
CT-01,0.0
CT-02,0.0
CT-03,0.0
CT-04,0.0
CT-05,1.2
DE-AL,0.0
FL-01,100.0
FL-02,100.0
FL-03,98.5
FL-04,100.0
FL-05,0.0
FL-06,96.4
FL-07,0.1
FL-08,99.9
FL-09,0.1
FL-10,0.0
FL-11,100.0
FL-12,99.7
FL-13,0.3
FL-14,0.0
FL-15,72.7
FL-16,87.3
FL-17,100.0
FL-18,85.1
FL-19,100.0
FL-20,0.0
FL-21,0.0
FL-22,0.0
FL-23,0.0
FL-24,0.0
FL-25,99.9
FL-26,7.5
FL-27,3.8
GA-01,97.6
GA-02,0.0
GA-03,100.0
GA-04,0.0
GA-05,0.0
GA-06,14.3
GA-07,24.5
GA-08,100.0
GA-09,100.0
GA-10,100.0
GA-11,99.9
GA-12,99.4
GA-13,0.0
GA-14,100.0
HI-01,0.0
HI-02,0.0
ID-01,100.0
ID-02,100.0
IL-01,0.0
IL-02,0.0
IL-03,0.0
IL-04,0.0
IL-05,0.0
IL-06,3.1
IL-07,0.0
IL-08,0.0
IL-09,0.0
IL-10,0.0
IL-11,0.0
IL-12,80.3
IL-13,49.6
IL-14,9.6
IL-15,100.0
IL-16,100.0
IL-17,0.0
IL-18,100.0
IN-01,0.0
IN-02,97.9
IN-03,100.0
IN-04,100.0
IN-05,44.4
IN-06,100.0
IN-07,0.0
IN-08,100.0
IN-09,99.8
IA-01,31.6
IA-02,5.7
IA-03,35.0
IA-04,99.5
KS-01,100.0
KS-02,85.9
KS-03,0.4
KS-04,99.8
KY-01,100.0
KY-02,100.0
KY-03,0.0
KY-04,100.0
KY-05,100.0
KY-06,88.1
LA-01,100.0
LA-02,0.0
LA-03,100.0
LA-04,100.0
LA-05,100.0
LA-06,100.0
ME-01,0.0
ME-02,24.4
MD-01,100.0
MD-02,0.0
MD-03,0.0
MD-04,0.0
MD-05,0.0
MD-06,0.0
MD-07,0.0
MD-08,0.0
MA-01,0.0
MA-02,0.0
MA-03,0.0
MA-04,0.0
MA-05,0.0
MA-06,0.0
MA-07,0.0
MA-08,0.0
MA-09,0.1
MI-01,99.7
MI-02,99.0
MI-03,96.2
MI-04,100.0
MI-05,0.0
MI-06,80.5
MI-07,96.7
MI-08,2.5
MI-09,0.0
MI-10,100.0
MI-11,3.2
MI-12,0.0
MI-13,0.0
MI-14,0.0
MN-01,71.3
MN-02,2.5
MN-03,0.1
MN-04,0.0
MN-05,0.0
MN-06,100.0
MN-07,55.7
MN-08,96.3
MS-01,100.0
MS-02,0.0
MS-03,100.0
MS-04,100.0
MO-01,0.0
MO-02,57.2
MO-03,100.0
MO-04,100.0
MO-05,0.0
MO-06,100.0
MO-07,100.0
MO-08,100.0
MT-AL,87.7
NE-01,100.0
NE-02,39.1
NE-03,100.0
NV-01,0.0
NV-02,99.4
NV-03,2.9
NV-04,3.5
NH-01,5.1
NH-02,1.0
NJ-01,0.0
NJ-02,5.9
NJ-03,21.5
NJ-04,95.5
NJ-05,0.1
NJ-06,0.0
NJ-07,3.8
NJ-08,0.0
NJ-09,0.0
NJ-10,0.0
NJ-11,0.0
NJ-12,0.0
NM-01,0.0
NM-02,14.2
NM-03,0.0
NY-01,65.6
NY-02,74.4
NY-03,0.1
NY-04,0.0
NY-05,0.0
NY-06,0.0
NY-07,0.0
NY-08,0.0
NY-09,0.0
NY-10,0.0
NY-11,2.0
NY-12,0.0
NY-13,0.0
NY-14,0.0
NY-15,0.0
NY-16,0.0
NY-17,0.0
NY-18,1.1
NY-19,5.9
NY-20,0.0
NY-21,98.7
NY-22,18.3
NY-23,91.3
NY-24,72.9
NY-25,0.0
NY-26,0.0
NY-27,99.4
NC-01,0.2
NC-02,0.0
NC-03,100.0
NC-04,0.0
NC-05,100.0
NC-06,0.0
NC-07,97.5
NC-08,72.4
NC-09,84.3
NC-10,100.0
NC-11,82.0
NC-12,0.0
NC-13,100.0
ND-AL,100.0
OH-01,36.2
OH-02,99.7
OH-03,0.0
OH-04,100.0
OH-05,100.0
OH-06,100.0
OH-07,100.0
OH-08,100.0
OH-09,0.0
OH-10,96.6
OH-11,0.0
OH-12,69.0
OH-13,0.0
OH-14,96.7
OH-15,100.0
OH-16,99.4
OK-01,99.8
OK-02,100.0
OK-03,100.0
OK-04,100.0
OK-05,12.3
OR-01,0.0
OR-02,100.0
OR-03,0.0
OR-04,3.1
OR-05,2.8
PA-01,58.6
PA-02,0.0
PA-03,0.0
PA-04,0.0
PA-05,0.0
PA-06,0.0
PA-07,4.0
PA-08,13.3
PA-09,100.0
PA-10,58.6
PA-11,100.0
PA-12,100.0
PA-13,100.0
PA-14,100.0
PA-15,100.0
PA-16,88.3
PA-17,0.5
PA-18,0.0
RI-01,0.0
RI-02,0.0
SC-01,8.2
SC-02,95.1
SC-03,100.0
SC-04,100.0
SC-05,97.7
SC-06,0.0
SC-07,99.5
SD-AL,100.0
TN-01,100.0
TN-02,100.0
TN-03,100.0
TN-04,100.0
TN-05,0.0
TN-06,100.0
TN-07,100.0
TN-08,100.0
TN-09,0.0
TX-01,100.0
TX-02,65.2
TX-03,79.9
TX-04,100.0
TX-05,100.0
TX-06,66.1
TX-07,1.6
TX-08,100.0
TX-09,0.0
TX-10,50.8
TX-11,100.0
TX-12,100.0
TX-13,100.0
TX-14,99.5
TX-15,0.0
TX-16,0.0
TX-17,97.8
TX-18,0.0
TX-19,100.0
TX-20,0.0
TX-21,47.6
TX-22,46.1
TX-23,39.9
TX-24,37.8
