state,gop_win
Alabama,99.8
Alaska,89.8
Arizona,39.0
Arkansas,99.9
California,0.0
Colorado,7.7
Connecticut,0.1
Delaware,0.1
District of Columbia,0.0
Florida,37.7
Georgia,35.5
Hawaii,0.0
Idaho,100.0
Illinois,0.0
Indiana,99.3
Iowa,62.3
Kansas,99.1
Kentucky,100.0
Louisiana,92.7
Maine,5.3
ME-01,0.2
ME-02,61.4
Maryland,0.0
Massachusetts,0.0
Michigan,4.9
Minnesota,10.8
Mississippi,92.6
Missouri,98.5
Montana,99.8
Nebraska,100.0
NE-01,99.8
NE-02,29.9
NE-03,100.0
Nevada,8.9
New Hampshire,23.3
New Jersey,0.0
New Mexico,1.8
New York,0.0
North Carolina,36.8
North Dakota,100.0
Ohio,27.7
Oklahoma,100.0
Oregon,3.5
Pennsylvania,16.2
Rhode Island,0.5
South Carolina,86.8
South Dakota,100.0
Tennessee,99.9
Texas,32.0
Utah,87.7
Vermont,0.0
Virginia,1.9
Washington,0.4
West Virginia,100.0
Wisconsin,21.9
Wyoming,100.0
